"ror_nr","ror_unit","ror_plant","region_id","zip","city","street","year","Pinst","efactor","head","total_flow","flo_river_ror","status","company","turbtype","geodbid","river","river_km","level_meter"
"3485","E21875011000000000000187198600000",,"11018","84416","Taufkirchen","Aham","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"24846",,"0","12"
"3486","E21875011000000000000187204100000",,"11018","84439","Steinkirchen","Koegning","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"24570",,"0","12"
"3487","E21875011000000000000187208700000",,"11018","84489","Burghausen","Kupferhammer","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15188",,"0","12"
"3488","E21875011000000000000187209600000",,"11018","84489","Burghausen","Stacherl","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"15188",,"0","12"
"3489","E21875011000000000000187211100000",,"11018","94259","Kirchberg i. Wald","Kaltenbrunn","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"19266",,"0","12"
"3490","E21875011000000000000187225800000",,"11018","84503","Altoetting","Oberholzhausen","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"13624",,"0","12"
"3491","E21875011000000000000187237400000",,"11018","84508","Burgkirchen","Rehdorf","2001","0.07","0.00","0.00","0.00",NULL,"OPR",,,"15192",,"0","12"
"3492","E21875011000000000000187239500000",,"11018","84508","Burgkirchen","Greinmuehle","2001","0.08","0.00","0.00","0.00",NULL,"OPR",,,"15192",,"0","12"
"3493","E21875011000000000000187242900000",,"11018","84513","Toeging","Engfurt","2001","0.12","0.00","0.00","0.00",NULL,"OPR",,,"25012",,"0","12"
"3494","E21875011000000000000187243600000",,"11018","84513","Erharting","Muehlenstr.","2001","0.12","0.00","0.00","0.00",NULL,"OPR",,,"16269",,"0","12"
"3495","E21875011000000000000187247400000",,"11018","84518","Garching","Trostberger Str.","2001","0.09","0.00","0.00","0.00",NULL,"OPR",,,"16829",,"0","12"
"3496","E21875011000000000000187248100000",,"11018","84518","Garching","Trostberger Str.","2001","0.09","0.00","0.00","0.00",NULL,"OPR",,,"16829",,"0","12"
"3497","E21875011000000000000187251300000",,"11018","84524","Neuoetting","Brunnhausgasse","2001","0.13","0.00","0.00","0.00",NULL,"OPR",,,"21534",,"0","12"
"3498","E21875011000000000000187256100000",,"11018","84529","Tittmoning","Kugelthal","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3499","E21875011000000000000187257000000",,"11018","84529","Tittmoning","Ramsdorf","2001","0.08","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3500","E21875011000000000000187257700000",,"11018","84529","Tittmoning","Lanzing","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3501","E21875011000000000000187258500000",,"11018","84529","Tittmoning","Salling","2001","0.09","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3502","E21875011000000000000187259200000",,"11018","84529","Tittmoning","Muehlham","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3503","E21875011000000000000187260400000",,"11018","84529","Tittmoning","Wiesmuehl","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3504","E21875011000000000000187260900000",,"11018","84529","Tittmoning","Wiesmuehl","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3505","E21875011000000000000187261400000",,"11018","84529","Tittmoning","Wiesmuehl","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25002",,"0","12"
"3506","E21875011000000000000187264600000",,"11018","84533","Stammham","Bachstr.","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"24464",,"0","12"
"3507","E21875011000000000000187265300000",,"11018","84533","Haiming","Innstr.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"17784",,"0","12"
"3508","E21875011000000000000187279300000",,"11018","84568","Pleiskirchen","Heisting","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22495",,"0","12"
"3509","E21875011000000000000187279800000",,"11018","84570","Polling","Schossmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"22560",,"0","12"
"3510","E21875011000000000000187280900000",,"11018","84571","Reischach","Brandmuehl","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22971",,"0","12"
"3511","E21875011000000000000187281500000",,"11018","84571","Reischach","Karrersaege","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22971",,"0","12"
"3512","E21875011000000000000187286800000",,"11018","84577","Tuessling","Moermoosen","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"25138",,"0","12"
"3513","E21875011000000000000187291100000",,"11018","85456","Wartenberg","Altweg","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25715",,"0","12"
"3514","E21875011000000000000187297000000",,"11018","94259","Kirchberg i. Wald","Reichertsrieder Str.","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"19266",,"0","12"
"3515","E21875011000000000000187297900000",,"11017","91249","Weigendorf","Zum Schloss","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25803",,"0","33"
"3516","E21875011000000000000187318400000",,"11017","92237","Sulzbach-Rosenberg","Rieglesbrunnenstr.","2001","0.00","0.00","0.00","0.00",NULL,"OPR",,,"24767",,"0","33"
"3517","E21875011000000000000187325300000",,"11017","92245","Kuemmersbruck","Schlossplatz","2001","0.06","0.00","0.00","0.00",NULL,"OPR",,,"19779",,"0","33"
"3518","E21875011000000000000187329900000",,"11017","92249","Vilseck","Heringnohe","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25412",,"0","33"
"3519","E21875011000000000000187334300000",,"11017","92256","Hahnbach","Kuemmersbuch","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"17768",,"0","33"
"3520","E21875011000000000000187339900000",,"11017","92265","Edelsfeld","Sigras","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15956",,"0","33"
"3521","E21875011000000000000187342100000",,"11017","92266","Ensdorf","Bahnhofstr.","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"16226",,"0","33"
"3522","E21875011000000000000187343600000",,"11017","92266","Ensdorf","Leidersdorf","2001","0.05","0.00","0.00","0.00",NULL,"OPR",,,"16226",,"0","33"
"3523","E21875011000000000000187344300000",,"11017","92268","Etzelwang","Lehendorf","2001","0.00","0.00","0.00","0.00",NULL,"OPR",,,"16381",,"0","33"
"3524","E21875011000000000000187345500000",,"11017","92269","Fensterbach","Am Muehlbach","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"16475",,"0","33"
"3525","E21875011000000000000187351700000",,"11017","92277","Hohenburg","Malsbach","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3526","E21875011000000000000187352500000",,"11017","92277","Hohenburg","Adertshausen","2001","0.08","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3527","E21875011000000000000187353100000",,"11017","92277","Hohenburg","Allersburg","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3528","E21875011000000000000187353700000",,"11017","92277","Hohenburg","Allersburg","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3529","E21875011000000000000187354100000",,"11017","92277","Hohenburg","Ransbach","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3530","E21875011000000000000187354600000",,"11017","92277","Hohenburg","Ransbach","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3531","E21875011000000000000187355100000",,"11017","92277","Hohenburg","Untere Muehle","2001","0.04","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3532","E21875011000000000000187355500000",,"11017","92277","Hohenburg","Weihermuehlweg","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"18496",,"0","33"
"3533","E21875011000000000000187356200000",,"11017","92280","Kastl","Brauhausgasse","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"19137",,"0","33"
"3534","E21875011000000000000187357000000",,"11017","92280","Kastl","Hohenburger Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"19137",,"0","33"
"3535","E21875011000000000000187358000000",,"11017","92280","Kastl","Muehlhausen","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"19137",,"0","33"
"3536","E21875011000000000000187359200000",,"11017","92280","Kastl","Kastler Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"19137",,"0","33"
"3537","E21875011000000000000187364700000",,"11017","92283","Lauterhofen","Fischermuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"20039",,"0","33"
"3538","E21875011000000000000187365500000",,"11017","92283","Lauterhofen","Hadermuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"20039",,"0","33"
"3539","E21875011000000000000187367000000",,"11017","92283","Lauterhofen","Schloegelsmuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"20039",,"0","33"
"3540","E21875011000000000000187369800000",,"11017","92286","Rieden","Vilswoerth","2001","0.29","0.00","0.00","0.00",NULL,"OPR",,,"23089",,"0","33"
"3541","E21875011000000000000187372700000",,"11017","92287","Schmidmuehlen","Hammerstr.","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"23791",,"0","33"
"3542","E21875011000000000000187373200000",,"11017","92287","Schmidmuehlen","Hammerstr.","2001","0.05","0.00","0.00","0.00",NULL,"OPR",,,"23791",,"0","33"
"3543","E21875011000000000000187374200000",,"11017","92287","Schmidmuehlen","Schlossstr.","2001","0.13","0.00","0.00","0.00",NULL,"OPR",,,"23791",,"0","33"
"3544","E21875011000000000000187374600000",,"11017","92289","Ursensollen","Hammermuehlstr.","2001","0.00","0.00","0.00","0.00",NULL,"OPR",,,"25299",,"0","33"
"3545","E21875011000000000000187378700000",,"11017","92331","Lupburg","Degerndorf","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"20503",,"0","33"
"3546","E21875011000000000000187379500000",,"11017","92331","Parsberg","Bienmuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22324",,"0","33"
"3547","E21875011000000000000187380500000",,"11017","92331","Parsberg","Hammermuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22324",,"0","33"
"3548","E21875011000000000000187383100000",,"11017","92331","Parsberg","Parsberger Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"22324",,"0","33"
"3549","E21875011000000000000187387400000",,"11017","92334","Berching","Grubmuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"14292",,"0","33"
